"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","listener"
0.264,0.363,2,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328,"audio_features","5SDcksP8En1l6RtTY1wzHc","spotify:track:5SDcksP8En1l6RtTY1wzHc","https://api.spotify.com/v1/tracks/5SDcksP8En1l6RtTY1wzHc","https://api.spotify.com/v1/audio-analysis/5SDcksP8En1l6RtTY1wzHc",536000,4,"Si Han"
0.315,0.534,6,-5.931,1,0.0332,0.525,0,0.171,0.445,136.725,"audio_features","6kabSi7XCHHGThNme6J2tL","spotify:track:6kabSi7XCHHGThNme6J2tL","https://api.spotify.com/v1/tracks/6kabSi7XCHHGThNme6J2tL","https://api.spotify.com/v1/audio-analysis/6kabSi7XCHHGThNme6J2tL",281200,4,"Si Han"
0.427,0.406,0,-8.66,1,0.0286,0.637,0,0.117,0.122,145.772,"audio_features","1SeGZM7rbMkyjPhVtXTA4F","spotify:track:1SeGZM7rbMkyjPhVtXTA4F","https://api.spotify.com/v1/tracks/1SeGZM7rbMkyjPhVtXTA4F","https://api.spotify.com/v1/audio-analysis/1SeGZM7rbMkyjPhVtXTA4F",344221,3,"Si Han"
0.221,0.308,11,-9.876,1,0.0356,0.88,4.47e-05,0.14,0.367,169.059,"audio_features","5ypwZVBbHoMnX74HtsmzUd","spotify:track:5ypwZVBbHoMnX74HtsmzUd","https://api.spotify.com/v1/tracks/5ypwZVBbHoMnX74HtsmzUd","https://api.spotify.com/v1/audio-analysis/5ypwZVBbHoMnX74HtsmzUd",266133,4,"Si Han"
0.35,0.409,9,-7.705,1,0.0286,0.616,0,0.107,0.165,80.022,"audio_features","6chJJnkpUMiYRESHXcugdV","spotify:track:6chJJnkpUMiYRESHXcugdV","https://api.spotify.com/v1/tracks/6chJJnkpUMiYRESHXcugdV","https://api.spotify.com/v1/audio-analysis/6chJJnkpUMiYRESHXcugdV",334106,4,"Si Han"
0.382,0.433,11,-8.978,1,0.0331,0.78,0,0.211,0.477,131.851,"audio_features","3Kkleq4f1DdS8Oj63ZMuls","spotify:track:3Kkleq4f1DdS8Oj63ZMuls","https://api.spotify.com/v1/tracks/3Kkleq4f1DdS8Oj63ZMuls","https://api.spotify.com/v1/audio-analysis/3Kkleq4f1DdS8Oj63ZMuls",286766,4,"Si Han"
0.502,0.525,11,-6.475,1,0.0282,0.665,0,0.459,0.264,90.015,"audio_features","037u9C5umoOYx84lhm7EgA","spotify:track:037u9C5umoOYx84lhm7EgA","https://api.spotify.com/v1/tracks/037u9C5umoOYx84lhm7EgA","https://api.spotify.com/v1/audio-analysis/037u9C5umoOYx84lhm7EgA",288135,4,"Si Han"
0.445,0.488,0,-6.213,1,0.0256,0.731,0,0.103,0.326,139.812,"audio_features","0Z6vz6y3H2TKu5RlfIWfPz","spotify:track:0Z6vz6y3H2TKu5RlfIWfPz","https://api.spotify.com/v1/tracks/0Z6vz6y3H2TKu5RlfIWfPz","https://api.spotify.com/v1/audio-analysis/0Z6vz6y3H2TKu5RlfIWfPz",216160,3,"Si Han"
0.426,0.224,6,-8.683,1,0.0391,0.948,0,0.112,0.399,85.728,"audio_features","5E5MqaS6eOsbaJibl3YeMZ","spotify:track:5E5MqaS6eOsbaJibl3YeMZ","https://api.spotify.com/v1/tracks/5E5MqaS6eOsbaJibl3YeMZ","https://api.spotify.com/v1/audio-analysis/5E5MqaS6eOsbaJibl3YeMZ",230480,5,"Si Han"
0.441,0.619,4,-6.609,1,0.0293,0.19,0,0.118,0.187,75.027,"audio_features","7LyCtbxher5m97MImn5M3l","spotify:track:7LyCtbxher5m97MImn5M3l","https://api.spotify.com/v1/tracks/7LyCtbxher5m97MImn5M3l","https://api.spotify.com/v1/audio-analysis/7LyCtbxher5m97MImn5M3l",290133,4,"Si Han"
0.426,0.487,2,-5.276,1,0.0361,0.785,0,0.259,0.28,135.103,"audio_features","5kZDxLcbqglZ2yYXg4Mkjc","spotify:track:5kZDxLcbqglZ2yYXg4Mkjc","https://api.spotify.com/v1/tracks/5kZDxLcbqglZ2yYXg4Mkjc","https://api.spotify.com/v1/audio-analysis/5kZDxLcbqglZ2yYXg4Mkjc",244470,4,"Si Han"
0.507,0.402,10,-7.869,1,0.0279,0.613,8.85e-06,0.11,0.124,143.86,"audio_features","4FOydQ5IdqmdeBgG9vFbPg","spotify:track:4FOydQ5IdqmdeBgG9vFbPg","https://api.spotify.com/v1/tracks/4FOydQ5IdqmdeBgG9vFbPg","https://api.spotify.com/v1/audio-analysis/4FOydQ5IdqmdeBgG9vFbPg",334240,4,"Si Han"
0.631,0.233,8,-13.016,1,0.0329,0.841,3.24e-06,0.228,0.442,91.864,"audio_features","3xJK8ywApYVEYIDhymYMC6","spotify:track:3xJK8ywApYVEYIDhymYMC6","https://api.spotify.com/v1/tracks/3xJK8ywApYVEYIDhymYMC6","https://api.spotify.com/v1/audio-analysis/3xJK8ywApYVEYIDhymYMC6",209760,4,"Si Han"
0.439,0.693,9,-6.648,1,0.0491,0.327,0,0.703,0.202,143.876,"audio_features","0lNRoHi9Y3mB3AklVWAtUf","spotify:track:0lNRoHi9Y3mB3AklVWAtUf","https://api.spotify.com/v1/tracks/0lNRoHi9Y3mB3AklVWAtUf","https://api.spotify.com/v1/audio-analysis/0lNRoHi9Y3mB3AklVWAtUf",321400,4,"Si Han"
0.454,0.427,2,-8.049,1,0.029,0.0205,0,0.69,0.184,135.887,"audio_features","5MkhtIRJSGeNPgbgKHNhGB","spotify:track:5MkhtIRJSGeNPgbgKHNhGB","https://api.spotify.com/v1/tracks/5MkhtIRJSGeNPgbgKHNhGB","https://api.spotify.com/v1/audio-analysis/5MkhtIRJSGeNPgbgKHNhGB",291566,4,"Si Han"
0.48,0.358,0,-9.565,1,0.0282,0.622,2.12e-05,0.107,0.142,149.945,"audio_features","0TVrlU8El0K6U1pC2LOt09","spotify:track:0TVrlU8El0K6U1pC2LOt09","https://api.spotify.com/v1/tracks/0TVrlU8El0K6U1pC2LOt09","https://api.spotify.com/v1/audio-analysis/0TVrlU8El0K6U1pC2LOt09",259588,4,"Si Han"
